epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,266.087,0.58752,1.31167,2.1515,1.12791,0.00333,1,0.91846,0.60868,0.00333,1,0.94454,0.75692,0.76646,1.04225,2.94795,1.45522,0.00054,0.00054,0.00054
2,435.206,1.14833,1.17764,1.7682,1.46036,0.23463,0.33929,0.25657,0.07326,0.67931,0.5,0.54138,0.16495,2.10196,4.77754,3.46151,3.57587,0.0010637,0.0010637,0.0010637
3,563.347,1.68465,1.72727,2.75737,1.93602,0.02474,0.10714,0.02962,0.00828,0.09564,0.125,0.06768,0.01663,3.63558,7.94972,4.55895,6.4629,0.00155044,0.00155044,0.00155044
4,670.28,1.717,2.05525,2.43088,1.94501,0.2566,0.66071,0.23765,0.06947,0.2879,0.66071,0.268,0.132,2.33613,9.12873,4.33351,4.64122,0.001802,0.001802,0.001802
5,779.016,2.09781,3.04582,2.58887,2.38688,0.2566,0.66071,0.23765,0.06947,0.2879,0.66071,0.268,0.132,2.33613,9.12873,4.33351,4.64122,0.001736,0.001736,0.001736
6,886.074,2.07476,2.91068,2.48147,2.37854,0.04283,0.10714,0.02088,0.00408,0.14554,0.375,0.10205,0.02093,3.52979,5.25402,22.6915,5.89983,0.00167,0.00167,0.00167
7,991.884,1.9313,2.09354,2.38752,2.22172,0.08894,0.64286,0.19417,0.06166,0.11364,0.82143,0.33768,0.14658,2.04862,2.36647,22.9362,3.42559,0.001604,0.001604,0.001604
8,1102.08,1.68068,1.99332,2.27249,1.9954,0.15588,0.46429,0.16214,0.05437,0.15519,0.55357,0.18598,0.08536,1.94672,2.00691,9.26381,2.81774,0.001538,0.001538,0.001538
9,1210.69,1.74833,1.91849,2.13667,2.08537,0.10396,0.55357,0.11528,0.03614,0.10731,0.57143,0.12325,0.04835,2.39904,3.65413,18.9981,4.41476,0.001472,0.001472,0.001472
10,1315.75,1.59938,2.16662,2.13648,2.01857,0.29414,0.69643,0.31299,0.14325,0.33754,0.63694,0.30087,0.16677,1.4927,2.68833,4.45785,2.40088,0.001406,0.001406,0.001406
11,1420.99,1.48389,2.19446,1.98251,1.80344,0.35977,0.66071,0.40892,0.19913,0.39213,0.71421,0.48043,0.25542,1.67858,1.30556,2.79478,2.42747,0.00134,0.00134,0.00134
12,1526.21,1.34432,1.58774,1.81542,1.72216,0.42602,0.54348,0.53381,0.22492,0.49377,0.625,0.59229,0.32118,1.41622,1.26729,2.48401,2.15407,0.001274,0.001274,0.001274
13,1631.11,1.22478,1.69914,1.62658,1.60872,0.42602,0.54348,0.53381,0.22492,0.49377,0.625,0.59229,0.32118,1.41622,1.26729,2.48401,2.15407,0.001208,0.001208,0.001208
14,1736.31,1.49764,1.68308,1.8655,1.8426,0.70198,0.80357,0.82094,0.34993,0.77687,0.78571,0.85644,0.53353,1.44737,1.39464,2.16054,2.10057,0.001142,0.001142,0.001142
